time;X_value;Y_value;Z_value
0,0032;-0,32322;1,4868;9,75667
0,0037;-0,18435;1,60172;9,79977
0,0066;-0,11492;1,65439;9,82131
0,0077;0,00239;1,78368;9,83568
0,0098;0,10056;1,81959;9,83568
0,012;0,14365;1,83635;9,83807
0,014;0,2059;1,87945;9,81413
0,0158;0,26576;1,90818;9,78301
0,0183;0,29209;1,91536;9,76625
0,0199;0,29449;1,93451;9,75907
0,0235;0,31125;1,93691;9,73991
0,0236;0,30646;1,93212;9,73273
0,0264;0,26097;1,91297;9,72794
0,0281;0,22027;1,89142;9,73991
0,0305;0,15083;1,88184;9,74709
0,0334;0,06704;1,84832;9,73273
0,0342;0,01437;1,82678;9,72315
0,0356;-0,05746;1,78368;9,7016
0,04;-0,13408;1,75256;9,66569
0,0406;-0,16041;1,72861;9,64175
0,0417;-0,22505;1,6927;9,60584
0,044;-0,26576;1,67834;9,58189
0,0461;-0,2897;1,67115;9,4957
0,0475;-0,3304;1,63763;9,42148
0,05;-0,35913;1,62087;9,38796
0,0525;-0,40941;1,58736;9,32332
0,0538;-0,47166;1,55384;9,26107
0,0557;-0,51236;1,53229;9,22995
0,0586;-0,60813;1,46525;9,13657
0,0598;-0,63686;1,4461;9,11742
0,0623;-0,66559;1,42934;9,09108
0,0638;-0,72784;1,40779;9,0408
0,0656;-0,77093;1,38864;9,02405
0,0677;-0,80206;1,37427;9,00729
0,0696;-0,85234;1,35991;8,97377
0,0722;-0,87628;1,35751;8,9594
0,0736;-0,88107;1,3623;8,94743
0,0756;-0,89543;1,36948;8,94264
0,0785;-0,91219;1,36948;8,94025
0,0797;-0,90022;1,37427;8,93785
0,0829;-0,8691;1,38864;8,93546
0,084;-0,85473;1,38864;8,94264
0,0857;-0,82121;1,41018;8,96419
0,0879;-0,80445;1,41258;8,96658
0,0905;-0,75657;1,42455;8,98095
0,0926;-0,71587;1,4437;9,01207
0,0943;-0,69911;1,45807;9,01926
0,096;-0,67516;1,45089;9,04799
0,0985;-0,63925;1,44849;9,09108
0,0998;-0,62249;1,43892;9,11981
0,1033;-0,58419;1,45328;9,19403
0,1043;-0,56743;1,46765;9,26586
