time;X_value;Y_value;Z_value
0,0035;-0,70868;2,31519;9,14615
0,0036;-0,71108;2,34392;9,15812
0,0055;-0,72065;2,35829;9,18206
0,0072;-0,71587;2,36787;9,19164
0,0122;-0,75896;2,3966;9,22995
0,0122;-0,75896;2,3966;9,22995
0,0132;-0,74939;2,40378;9,23474
0,0178;-0,73023;2,41814;9,2491
0,0178;-0,72784;2,42533;9,27065
0,0204;-0,72784;2,43251;9,29459
0,0216;-0,73023;2,42772;9,30417
0,0243;-0,7422;2,43011;9,31135
0,0257;-0,74699;2,43011;9,32093
0,0272;-0,74939;2,3966;9,34726
0,033;-0,80924;2,36308;9,39754
0,033;-0,84036;2,34392;9,40712
0,0337;-0,87149;2,33914;9,41909
0,0354;-0,90261;2,33435;9,42867
0,0373;-0,97923;2,30562;9,42388
0,0405;-1,05105;2,27689;9,42867
0,0411;-1,07978;2,26491;9,43345
0,0433;-1,1157;2,26731;9,44064
0,0452;-1,13485;2,27449;9,43585
0,0475;-1,16598;2,2721;9,44064
0,0521;-1,13485;2,28407;9,44303
0,0521;-1,13485;2,28407;9,44303
0,053;-1,12527;2,28407;9,44543
0,0553;-1,1157;2,27449;9,4574
0,0574;-1,0726;2,26013;9,47655
0,0604;-1,04387;2,26491;9,50289
0,0611;-1,02711;2,26491;9,51725
0,0641;-0,98162;2,24576;9,54359
0,0672;-0,93374;2,21464;9,59387
0,0673;-0,92416;2,20506;9,60823
0,0723;-0,88107;2,16915;9,65372
0,0723;-0,88107;2,16915;9,65372
0,0732;-0,87388;2,16196;9,66809
0,0754;-0,85473;2,12845;9,71118
0,0772;-0,85234;2,11169;9,71118
0,0801;-0,83797;2,08535;9,71836
0,0814;-0,84036;2,07338;9,71836
0,0844;-0,84276;2,06141;9,71836
0,0855;-0,84755;2,01113;9,72555
0,0883;-0,77812;2,03986;9,67048
0,0926;-0,51475;2,32477;9,71836
0,0926;-0,51475;2,32477;9,71836
0,093;-0,4956;2,35589;9,74949
0,0959;-0,5363;2,35111;9,80455
0,0979;-0,62489;2,31519;9,85483
0,1004;-0,71108;2,27449;9,90272
0,102;-0,75178;2,25534;9,91708
0,1038;-0,80924;2,25294;9,93145
0,1055;-0,82839;2,26252;9,93624
0,1078;-0,84515;2,29843;9,90751
0,1154;-0,89064;2,35111;9,82131
0,1154;-0,89064;2,35111;9,82131
0,1154;-0,89783;2,36787;9,80216
0,1161;-0,89064;2,38223;9,77343
0,1176;-0,87388;2,40138;9,68245
0,1203;-0,85712;2,44209;9,5795
0,1211;-0,79487;2,51631;9,48852
0,1232;-0,61292;2,62165;9,38318
0,1254;-0,57221;2,62165;9,36881
0,1278;-0,58658;2,50673;9,34487
0,1324;-0,70629;2,2314;9,23713
0,1324;-0,70629;2,2314;9,23713
0,1331;-0,72305;2,17394;9,22276
0,1356;-0,73263;2,07817;9,18206
0,1372;-0,73023;2,04465;9,16051
0,1405;-0,73741;2,00155;9,10784
0,1413;-0,7015;1,97761;9,05756
0,1431;-0,66798;1,97522;9,03123
0,1454;-0,56982;1,99198;8,98813
0,1476;-0,49799;2,00395;8,98095
0,1531;-0,18675;2,03747;8,99531
0,1531;-0,18675;2,03747;8,99531
0,1531;-0,11013;2,04225;8,98813
0,1555;0,05028;2,09971;8,96658
0,1574;0,18196;2,13323;8,96658
0,1643;0,26097;2,30322;8,99292
0,1643;0,28252;2,36308;9,01207
0,1643;0,30646;2,38702;9,03123
0,1665;0,33758;2,34153;9,11742
0,1677;0,31843;2,24816;9,22037
0,1723;0,30646;2,19309;9,32811
0,1723;0,30646;2,19309;9,36163
0,1731;0,28012;2,1883;9,39275
0,1755;0,26336;2,17633;9,42627
0,1772;0,18435;2,15957;9,52204
0,1799;0,06943;2,15478;9,61063
0,1812;-0,00239;2,14281;9,64175
0,1851;-0,14126;2,12845;9,704
0,1853;-0,21548;2,13563;9,7447
0,1875;-0,37828;2,13084;9,80934
0,1922;-0,61052;2,12845;9,94581
0,1922;-0,61052;2,12845;9,94581
0,1931;-0,66319;2,12126;9,97454
0,1962;-0,7039;2,12366;10,00567
0,1972;-0,75896;2,13084;10,06073
0,2007;-0,74699;2,16915;10,08228
0,2012;-0,72544;2,18351;10,08228
0,2037;-0,67756;2,19548;10,10383
0,2055;-0,57221;2,22182;10,10862
0,2075;-0,4956;2,22661;10,10862
0,2131;-0,15323;2,2697;10,09665
0,2132;-0,15323;2,2697;10,09665
0,2132;-0,07183;2,26731;10,08707
0,2155;0,10774;2,25773;10,06552
0,2173;0,20111;2,24097;10,04876
0,2204;0,49321;2,16436;9,97694
0,2211;0,60334;2,12845;9,9506
0,2234;0,71587;2,08296;9,92426
0,2254;0,94332;1,97522;9,85483
0,2272;1,1564;1,92494;9,75428
0,2321;1,43892;1,70707;9,59387
0,2322;1,43892;1,70707;9,59387
0,2332;1,51792;1,65439;9,52922
0,2359;1,61369;1,56581;9,39993
0,2373;1,69749;1,45567;9,28022
0,2401;1,7358;1,34794;9,1677
0,2415;1,76453;1,28808;9,10545
0,2435;1,7741;1,18992;8,98813
0,2452;1,75495;1,13485;8,92109
0,2474;1,72622;1,07978;8,80617
0,2525;1,74298;1,10612;8,63858
0,2525;1,74298;1,10612;8,63858
0,2535;1,72861;1,13725;8,59548
0,2555;1,70228;1,17316;8,56915
0,2572;1,64003;1,2378;8,53563
0,2602;1,52511;1,34315;8,52126
0,2611;1,42694;1,39343;8,52845
0,2634;1,18034;1,48441;8,54521
0,2657;1,04866;1,53468;8,56436
0,2672;0,76854;1,63285;8,62182
0,2723;0,31843;1,87466;8,76308
0,2723;0,31843;1,87466;8,76308
0,2735;0,24181;1,94649;8,7966
